index,Image reference,Coder name,Coding date,Road survey date,Road name,Section,Distance,Length,Latitude start,Longitude start,Landmark,Comments,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,Vehicle flow (AADT),Motorcycle %,Pedestrian peak hour flow across the road,Pedestrian peak hour flow along the road driver-side,Pedestrian peak hour flow along the road passenger-side,Bicycle peak hour flow,Operating Speed (85th percentile),Operating Speed (mean),Roads that cars can read,Vehicle Occupant Star Rating Policy Target,Motorcycle Star Rating Policy Target,Pedestrian Star Rating Policy Target,Bicycle Star Rating Policy Target,Annual Fatality Growth Multiplier,School zone warning,School zone crossing supervisor,Latitude end,Longitude end,route,control,control_name,km_start_fraction,km_end_fraction,image_id
126,"['37300_37400_117985_1.jpg', '37300_37400_117985_2.jpg', '37300_37400_117985_3.jpg', '37300_37400_117985_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,9.59,14.03695777,100.6161709,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,2,1,3,2,1,1,7,3,4,3,1,1,3,1,1,1,1,2,7,1,1,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.03695615,100.6162069,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37300,37400,496
127,"['37400_37500_117987_1.jpg', '37400_37500_117987_2.jpg', '37400_37500_117987_3.jpg', '37400_37500_117987_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,9.69,14.03786408,100.616236,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,2,1,14.03786193,100.616272,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37400,37500,500
128,"['37500_37600_117989_1.jpg', '37500_37600_117989_2.jpg', '37500_37600_117989_3.jpg', '37500_37600_117989_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,9.79,14.03877083,100.6162945,,1396,1,3,1,1,1,1,1,1,6,2,13,13,11,1,2,1,1,2,1,12,1,3,1,12,1,7,3,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,2,1,14.0387683,100.6163305,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37500,37600,504
129,"['37600_37700_117991_1.jpg', '37600_37700_117991_2.jpg', '37600_37700_117991_3.jpg', '37600_37700_117991_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,9.89,14.03967594,100.6163367,,1396,1,3,1,1,1,1,1,1,6,2,13,13,11,1,2,1,1,2,3,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,4,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,2,1,14.03967547,100.6163727,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37600,37700,508
130,"['37700_37800_117993_1.jpg', '37700_37800_117993_2.jpg', '37700_37800_117993_3.jpg', '37700_37800_117993_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,9.99,14.04058435,100.6163472,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,2,1,14.04058337,100.6163833,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37700,37800,512
131,"['37800_37900_117995_1.jpg', '37800_37900_117995_2.jpg', '37800_37900_117995_3.jpg', '37800_37900_117995_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.09,14.04149246,100.6163827,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,2,1,14.04149096,100.6164187,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37800,37900,516
132,"['37900_38000_117997_1.jpg', '37900_38000_117997_2.jpg', '37900_38000_117997_3.jpg', '37900_38000_117997_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.19,14.04240108,100.6164257,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,3,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04239817,100.6164616,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,37900,38000,520
133,"['38000_38100_117998_1.jpg', '38000_38100_117998_2.jpg', '38000_38100_117998_3.jpg', '38000_38100_117998_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.29,14.04330718,100.6164597,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04330581,100.6164957,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38000,38100,524
134,"['38100_38200_118000_1.jpg', '38100_38200_118000_2.jpg', '38100_38200_118000_3.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.39,14.04421652,100.6164999,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,3,1,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04421319,100.6165358,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38100,38200,528
135,"['38200_38300_118002_1.jpg', '38200_38300_118002_2.jpg', '38200_38300_118002_3.jpg', '38200_38300_118002_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.49,14.04512004,100.6165414,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04511943,100.6165775,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38200,38300,531
136,"['38300_38400_118004_1.jpg', '38300_38400_118004_2.jpg', '38300_38400_118004_3.jpg', '38300_38400_118004_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.59,14.04602851,100.6165726,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,12,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04602714,100.6166086,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38300,38400,535
137,"['38400_38500_118006_1.jpg', '38400_38500_118006_2.jpg', '38400_38500_118006_3.jpg', '38400_38500_118006_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.69,14.04693595,100.6166102,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,3,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04693464,100.6166462,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38400,38500,539
138,"['38500_38600_118008_1.jpg', '38500_38600_118008_2.jpg', '38500_38600_118008_3.jpg', '38500_38600_118008_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.79,14.04784348,100.6166531,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04784189,100.6166891,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38500,38600,543
139,"['38600_38700_118010_1.jpg', '38600_38700_118010_2.jpg', '38600_38700_118010_3.jpg', '38600_38700_118010_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.89,14.04875067,100.6166869,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04874952,100.6167229,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38600,38700,547
140,"['38700_38800_118012_1.jpg', '38700_38800_118012_2.jpg', '38700_38800_118012_3.jpg', '38700_38800_118012_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,10.99,14.04965875,100.6167208,,1396,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.04965715,100.6167568,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38700,38800,551
141,"['38800_38900_118014_1.jpg', '38800_38900_118014_2.jpg', '38800_38900_118014_3.jpg', '38800_38900_118014_4.jpg']",staff_cu,08/12/2023,,1,201,0.1,11.09,14.05056598,100.6167537,,1396,1,3,2,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,1,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,3,1,1,6,2,14,15,1,1,3,3,3,1,4,3,14.05056484,100.6167897,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38800,38900,555
142,['38900_39000_904393_1.jpg'],staff_cu,08/12/2023,,1,201,0.1,11.19,14.05147385,100.6167896,,1396,1,3,2,1,1,1,1,4,4,2,13,13,11,1,2,1,1,2,2,1,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,99011,2,2,2,2,2,14,15,1,1,3,3,3,1,4,3,14.05147242,100.6168256,1,201,à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡,38900,39000,559
143,"['39000_39100_37268_1.jpg', '39000_39100_37268_2.jpg', '39000_39100_37268_3.jpg', '39000_39100_37268_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0,14.05237917,100.6168309,,5962,1,2,1,1,1,1,1,1,1,2,13,13,11,1,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05282806,100.6168784,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39000,39100,560
144,"['39100_39200_37269_1.jpg', '39100_39200_37269_2.jpg', '39100_39200_37269_3.jpg', '39100_39200_37269_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.1,14.05328042,100.6168651,,5962,1,2,1,1,1,1,1,1,1,2,13,13,11,1,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05372987,100.6169168,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39100,39200,564
145,"['39200_39300_37270_1.jpg', '39200_39300_37270_2.jpg', '39200_39300_37270_3.jpg', '39200_39300_37270_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.2,14.05418203,100.6169007,,5962,1,3,1,1,1,1,1,1,4,2,13,13,11,1,5,1,2,2,1,1,1,2,3,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05463179,100.6169533,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39200,39300,568
146,"['39300_39400_37271_1.jpg', '39300_39400_37271_2.jpg', '39300_39400_37271_3.jpg', '39300_39400_37271_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.3,14.05508414,100.6169371,,5962,1,3,1,1,1,1,1,1,4,2,13,13,11,1,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.0555337,100.616991,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39300,39400,572
147,"['39400_39500_37272_1.jpg', '39400_39500_37272_2.jpg', '39400_39500_37272_3.jpg', '39400_39500_37272_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.4,14.05598623,100.6169753,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05643546,100.6170319,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39400,39500,576
148,"['39500_39600_37273_1.jpg', '39500_39600_37273_2.jpg', '39500_39600_37273_3.jpg', '39500_39600_37273_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.5,14.05688815,100.6170123,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,2,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05733742,100.6170682,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39500,39600,580
149,"['39600_39700_37274_1.jpg', '39600_39700_37274_2.jpg', '39600_39700_37274_3.jpg', '39600_39700_37274_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.6,14.05778982,100.6170497,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05823918,100.6171084,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39600,39700,584
150,"['39700_39800_37275_1.jpg', '39700_39800_37275_2.jpg', '39700_39800_37275_3.jpg', '39700_39800_37275_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.7,14.05869192,100.6170814,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,15,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.05914129,100.6171369,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39700,39800,588
151,"['39800_39900_37276_1.jpg', '39800_39900_37276_2.jpg', '39800_39900_37276_3.jpg', '39800_39900_37276_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.8,14.05959504,100.6171229,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,1,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06004281,100.6171804,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39800,39900,592
152,"['39900_40000_37277_1.jpg', '39900_40000_37277_2.jpg', '39900_40000_37277_3.jpg', '39900_40000_37277_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,0.9,14.06049534,100.617155,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,1,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06094487,100.6172114,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,39900,40000,596
153,"['40000_40100_37278_1.jpg', '40000_40100_37278_2.jpg', '40000_40100_37278_3.jpg', '40000_40100_37278_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,1,14.06139728,100.6171933,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,1,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06184686,100.617247,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,40000,40100,600
154,"['40100_40200_37279_1.jpg', '40100_40200_37279_2.jpg', '40100_40200_37279_3.jpg', '40100_40200_37279_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,1.1,14.06229943,100.617229,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,15,1,2,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06274877,100.6172842,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,40100,40200,604
155,"['40300_40400_37281_1.jpg', '40300_40400_37281_2.jpg', '40300_40400_37281_3.jpg', '40300_40400_37281_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,1.3,14.06410356,100.6172941,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,1,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06455284,100.6173503,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,40300,40400,608
156,"['40400_40500_37282_1.jpg', '40400_40500_37282_2.jpg', '40400_40500_37282_3.jpg', '40400_40500_37282_4.jpg']",staff_cu,08/12/2023,,1,202,0.1,1.4,14.06500582,100.6173385,,5962,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,1,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,2,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.06545394,100.6174033,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,40400,40500,612
