image_id,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
11,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,80km/h,80km/h,60km/h,Not present,One way,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
12,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,Rigid structure or building,1 to <5m,Rigid structure or building,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
13,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,100km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
14,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,100km/h,80km/h,100km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
15,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,100km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
16,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,120km/h,90km/h,100km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
17,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
18,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
19,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
20,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
21,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
22,Carriageway A of a divided road,High,1 motorcycle,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,90km/h,80km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
23,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
24,Carriageway A of a divided road,High,1 motorcycle,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
25,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,Safety barrier - concrete,1 to <5m,Safety barrier - concrete,Not present,Medium 1m to <2.4m,Medium 1m to <2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
26,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,No object,1 to <5m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
27,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
28,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,80km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,Safety barrier - concrete,1 to <5m,Safety barrier - concrete,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,Commercial access ≥1,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
29,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,_None_,_None_,Not present,Not applicable,Not applicable,Commercial access ≥1,Three,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,Two side,Sidewalk 1m to <3m from road,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
30,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,"Rigid sign, post or pole ≥10cm",1 to <5m,Safety barrier - concrete,Not present,Wide ≥2.4m,Wide ≥2.4m,4-leg (signalised) with protected turn lane,Present,"10,000 to 15,000 vehicles",Adequate,Commercial access ≥1,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
31,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,Safety barrier - concrete,1 to <5m,Safety barrier - concrete,Not present,Wide ≥2.4m,Wide ≥2.4m,4-leg (signalised) with protected turn lane,Present,"10,000 to 15,000 vehicles",Adequate,Commercial access ≥1,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
32,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,1 to <5m,Safety barrier - concrete,1 to <5m,Safety barrier - concrete,Not present,Wide ≥2.4m,Wide ≥2.4m,4-leg (signalised) with protected turn lane,Present,"10,000 to 15,000 vehicles",Adequate,Commercial access ≥1,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
33,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,80km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
34,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Commercial,Urban,90km/h,90km/h,80km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
35,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
36,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,80km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
37,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
38,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,80km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
39,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
40,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
41,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
42,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
43,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,90km/h,80km/h,60km/h,Present,Physical median width 1 to <5m,Not present,≥10m,No object,≥10m,No object,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
