index,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
11,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,2,1,6,4,1,1,4,3
12,1,3,3,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,2,1,6,4,1,1,3,2
13,1,3,1,1,1,1,1,1,4,2,11,11,7,2,2,1,4,2,1,2,1,4,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
14,1,3,1,1,1,1,1,1,4,2,11,11,7,2,2,1,4,2,3,2,1,4,3,8,1,4,1,1,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,4,1,6,4,1,1,4,3
15,1,3,1,1,1,2,1,1,3,2,11,11,7,2,2,1,4,2,3,2,1,4,3,12,1,7,3,3,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
16,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
17,1,3,1,1,1,1,1,1,4,2,11,11,7,2,2,1,4,2,3,2,1,4,3,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,4,1,6,4,1,1,4,3
18,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,3,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
19,1,3,2,1,1,1,1,1,4,2,11,11,7,2,2,1,4,2,3,2,1,4,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
20,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,1,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,7,1,6,4,1,1,4,3
21,3,3,1,1,1,1,1,4,4,2,11,11,7,2,11,1,4,1,4,1,1,3,3,12,1,7,3,1,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
22,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,3,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,7,1,6,4,1,1,4,3
23,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,1,1,4,1,4,1,1,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,2,1,6,4,1,1,4,3
24,1,3,1,1,1,1,1,1,4,2,11,11,7,2,2,1,4,2,3,2,1,4,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
25,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
26,3,3,1,1,1,1,1,3,4,2,11,11,7,2,11,1,4,1,4,2,1,3,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,4,4,1,6,4,1,1,4,3
27,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,2,1,6,4,1,1,4,3
28,1,3,1,1,1,2,1,1,1,2,13,13,11,1,2,1,3,2,3,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,4,5,1,6,4,1,1,4,3
29,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
30,1,3,2,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
31,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
32,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
33,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,3,2,3,2,1,2,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
34,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
35,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
36,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
37,3,3,1,1,1,1,1,3,1,2,11,11,7,2,11,1,4,2,4,1,1,4,4,4,1,5,2,4,2,1,2,1,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
38,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
39,1,3,2,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
40,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
41,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
42,3,3,1,1,1,1,1,4,4,2,11,11,7,2,11,1,4,2,4,2,1,3,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
43,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
44,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
45,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
46,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
47,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
48,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
49,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
50,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
51,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
52,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
53,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
54,1,3,2,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
55,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
56,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
57,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
58,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
59,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
60,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
61,1,3,2,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
62,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
63,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
64,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
65,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
66,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
67,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
68,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
69,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
70,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
71,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
72,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
73,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
74,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
75,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
76,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
77,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
78,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
79,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,3,2,3,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
80,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
81,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
82,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
83,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
84,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
85,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
86,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
87,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
88,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
89,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
90,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
91,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
92,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
93,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
94,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
95,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
96,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
97,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
98,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
99,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
100,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
101,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
102,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
103,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,3,2,3,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
104,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
105,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
106,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
107,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
108,1,2,1,1,1,1,1,1,1,1,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
109,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
110,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
111,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,4,1,4,1,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
112,1,3,1,1,1,1,1,1,4,2,13,13,11,1,1,1,4,1,3,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
113,1,3,1,1,1,1,1,1,1,2,13,13,11,1,1,1,3,1,3,1,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
114,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
115,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
116,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
117,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
118,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
119,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
120,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
121,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
122,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,3,1,2,1,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
